Zipcode	City	State
32234	Jacksonville	FL
32466	Youngstown	FL
32145	Hastings	FL
32130	De-Leon-Springs	FL
32460	Sneads	FL
32619	Bell	FL
33493	South-Bay	FL
32531	Baker	FL
33785	Indian-Rocks-Beach	FL
34981	Fort-Pierce	FL
32508	Pensacola	FL
32628	Cross-City	FL
33620	Tampa	FL
32113	Citra	FL
34945	Fort-Pierce	FL
33070	Tavernier	FL
34217	Bradenton-Beach	FL
32565	Jay	FL
32621	Bronson	FL
33043	Big-Pine-Key	FL
33876	Sebring	FL
32421	Altha	FL
33890	Zolfo-Springs	FL
32686	Reddick	FL
33538	Lake-Panasoffkee	FL
32735	Grand-Island	FL
32324	Chattahoochee	FL
32668	Morriston	FL
32033	Elkton	FL
34734	Gotha	FL
32732	Geneva	FL
33576	San-Antonio	FL
32617	Anthony	FL
32180	Pierson	FL
32950	Malabar	FL
34269	Arcadia	FL
32580	Valparaiso	FL
32008	Branford	FL
32577	Molino	FL
32058	Lawtey	FL
32464	Westville	FL
32131	East-Palatka	FL
33838	Dundee	FL
32667	Micanopy	FL
32331	Greenville	FL
32431	Cottondale	FL
32083	Raiford	FL
33922	Bokeelia	FL
32455	Ponce-De-Leon	FL
34201	Bradenton	FL
32322	Carrabelle	FL
32071	O-Brien	FL
32320	Apalachicola	FL
32438	Fountain	FL
32744	Lake-Helen	FL
34773	St.-Cloud	FL
32009	Bryceville	FL
34484	Oxford	FL
32053	Jennings	FL
34756	Montverde	FL
33036	Islamorada	FL
33956	Saint-James-City	FL
32462	Vernon	FL
34289	North-Port	FL
32328	Eastpoint	FL
33839	Eagle-Lake	FL
32227	Jacksonville	FL
32767	Paisley	FL
32502	Pensacola	FL
32442	Grand-Ridge	FL
32831	Orlando	FL
32343	Midway	FL
34449	Inglis	FL
32443	Greenwood	FL
32764	Osteen	FL
32542	Eglin-Afb	FL
33306	Fort-Lauderdale	FL
32567	Laurel-Hill	FL
33827	Babson-Park	FL
32759	Oak-Hill	FL
32564	Holt	FL
34737	Howey-In-The-Hills	FL
32195	Weirsdale	FL
32798	Zellwood	FL
34705	Astatula	FL
32568	Mc-David	FL
32702	Altoona	FL
32403	Panama-City	FL
33621	Tampa	FL
33514	Center-Hill	FL
32094	Wellborn	FL
32181	Pomona-Park	FL
32445	Malone	FL
32949	Grant	FL
32212	Jacksonville	FL
32059	Lee	FL
33857	Lorida	FL
32102	Astor	FL
32096	White-Springs	FL
33946	Placida	FL
32334	Hosford	FL
32694	Waldo	FL
32358	Sopchoppy	FL
32544	Hurlburt-Field	FL
32420	Alford	FL
32346	Panacea	FL
32187	San-Mateo	FL
32709	Christmas	FL
32062	Mc-Alpin	FL
33965	Fort-Myers	FL
32044	Hampton	FL
32625	Cedar-Key	FL
33786	Belleair-Beach	FL
32925	Patrick-Afb	FL
32140	Florahome	FL
32190	Seville	FL
32350	Pinetta	FL
32359	Steinhatchee	FL
32616	Alachua	FL
32430	Clarksville	FL
33849	Kathleen	FL
33851	Lake-Hamilton	FL
33585	Sumterville	FL
32336	Lamont	FL
32332	Gretna	FL
34797	Yalaha	FL
32427	Caryville	FL
32511	Pensacola	FL
32622	Brooker	FL
33848	Intercession-City	FL
32139	Georgetown	FL
32423	Bascom	FL
32410	Mexico-Beach	FL
33865	Ona	FL
33930	Felda	FL
34760	Oakland	FL
32437	Ebro	FL
32426	Campbellton	FL
33921	Boca-Grande	FL
32147	Hollister	FL
34681	Crystal-Beach	FL
34216	Anna-Maria	FL
32193	Welaka	FL
32509	Pensacola	FL
33960	Venus	FL
32330	Greensboro	FL
34137	Copeland	FL
33877	Waverly	FL
34215	Cortez	FL
34498	Yankeetown	FL
33521	Coleman	FL
32449	Kinard	FL
34762	Okahumpka	FL
33051	Key-Colony-Beach	FL
32061	Lulu	FL
32228	Jacksonville	FL
32079	Penney-Farms	FL
33109	Miami-Beach	FL
32648	Horseshoe-Beach	FL
32664	Mc-Intosh	FL
32361	Wacissa	FL
32658	La-Crosse	FL
32970	Wabasso	FL
33438	Canal-Point	FL
32157	Lake-Como	FL
34138	Chokoloskee	FL
34140	Goodland	FL
33001	Long-Key	FL
33867	River-Ranch	FL
33854	Fedhaven	FL
33039	Homestead	FL
33856	Nalcrest	FL
32683	Otter-Creek	FL
32697	Worthington-Springs	FL
32355	Saint-Marks	FL
34739	Kenansville	FL
33944	Palmdale	FL
32463	Wausau	FL
32072	Olustee	FL
33122	Miami	FL
34139	Everglades-City	FL
33924	Captiva	FL
32639	Gulf-Hammock	FL
33847	Homeland	FL
33503	Balm	FL
32692	Suwannee	FL
32447	Marianna	FL
34268	Nocatee	FL
32631	Earleton	FL
32323	Lanark-Village	FL
33744	Bay-Pines	FL
34661	Nobleton	FL
34141	Ochopee	FL
34679	Aripeka	FL
32530	Bagdad	FL
32461	Rosemary-Bch	FL
32681	Orange-Lake	FL
32133	Eastlake-Weir	FL
32830	Orlando	FL
34101	Naples	FL
32432	Cypress	FL
32356	Salem	FL
34445	Holder	FL
33855	Indian-Lake-Estates	FL
33101	Miami	FL
32399	Tallahassee	FL
33945	Pineland	FL
